Cover,Title,Author,Genre,Rating,Rating Count,Year,Pages
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787.jpg,The Princess Bride,William Goldman,"Fantasy, Classics, Fiction, Romance, Humor",4.27,"886,305 ratings25,230 reviews","First published September 1, 1973","429 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998.jpg,The Secret Garden,Frances Hodgson Burnett,"Classics, Fiction, Childrens, Young , Adult",4.15,"1,132,429 ratings27,231 reviews","First published August 1, 1911","331 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg,A Game of Thrones,George R.R. Martin,"Fantasy, Fiction, Epic , Fantasy, Adult",4.44,"2,423,201 ratings62,253 reviews","First published August 6, 1996","835 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804.jpg,The Outsiders,S.E. Hinton,"Classics, Young , Adult, Fiction, School",4.12,"1,277,211 ratings45,160 reviews","First published April 24, 1967","192 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,A Wrinkle in Time,Madeleine L'Engle,"Fantasy, Fiction, Classics, Young , Adult",3.98,"1,178,726 ratings38,852 reviews","First published January 1, 1962","218 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg,Little Women,Louisa May Alcott,"Classics, Fiction, Historical , Fiction, Young ",4.14,"2,154,880 ratings48,022 reviews","First published January 1, 1868","449 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427.jpg,1984,George Orwell,"Classics, Fiction, Science , Fiction, Dystopia",4.19,"4,397,606 ratings109,372 reviews","First published June 8, 1949","298 pages, Kindle Edition"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390173285i/1381.jpg,The Odyssey,Homer,"Classics, Fiction, Poetry, Mythology, Fantasy",3.80,"1,046,946 ratings18,204 reviews","First published January 1, 701","541 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203.jpg,The Kite Runner,Khaled Hosseini,"Fiction, Historical , Fiction, Classics, Contemporary",4.34,"3,049,579 ratings94,767 reviews","First published May 29, 2003","371 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085.jpg,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Classics, Horror, Fiction, Science , Fiction",3.86,"1,540,632 ratings58,422 reviews","First published January 1, 1818","260 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,Harry Potter and the Deathly Hallows,J.K. Rowling,"Young , Adult, Fiction, Magic, Childrens",4.62,"3,587,573 ratings82,621 reviews","First published July 21, 2007","759 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938.jpg,The Lovely Bones,Alice Sebold,"Fiction, Mystery, Young , Adult, Contemporary",3.85,"2,308,146 ratings45,691 reviews","First published July 3, 2002","372 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956.jpg,The Adventures of Huckleberry Finn,Mark Twain,"Classics, Fiction, Historical , Fiction, Literature",3.83,"1,252,655 ratings19,110 reviews","First published February 18, 1884","327 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543.jpg,Where the Wild Things Are,Maurice Sendak,"Picture , Books, Childrens, Fiction, Classics",4.24,"985,144 ratings13,700 reviews","First published April 9, 1963","38 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg,The Giver,Lois Lowry,"Young , Adult, Fiction, Classics, Dystopia",4.12,"2,374,562 ratings77,361 reviews","First published April 26, 1993","208 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,The Handmaid’s Tale,Margaret Atwood,"Fiction, Classics, Dystopia, Science , Fiction",4.13,"1,968,289 ratings93,240 reviews","First published January 1, 1985","314 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772.jpg,Green Eggs and Ham,Dr. Seuss,"Childrens, Picture , Books, Classics, Fiction",4.31,"752,030 ratings11,237 reviews","First published June 1, 1960","64 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631251689i/4214.jpg,Life of Pi,Yann Martel,"Fiction, Fantasy, Classics, Adventure, Magical ",3.93,"1,587,560 ratings52,563 reviews","First published September 11, 2001","460 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953.jpg,A Tale of Two Cities,Charles Dickens,"Classics, Fiction, Historical , Fiction, Literature",3.87,"929,249 ratings22,621 reviews","First published November 26, 1859","489 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604.jpg,Lolita,Vladimir Nabokov,"Classics, Fiction, Literature, Russia, Novels",3.88,"824,925 ratings37,856 reviews","First published September 1, 1955","368 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg,Dune,Frank Herbert,"Science , Fiction, Fiction, Fantasy, Classics",4.26,"1,276,530 ratings57,256 reviews","First published June 1, 1965","658 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Classics, Fiction, Science , Fiction, Historical ",4.09,"1,338,580 ratings38,017 reviews","First published March 31, 1969","275 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1667708346i/43641.jpg,Water for Elephants,Sara Gruen,"Fiction, Historical , Fiction, Romance, Historical",4.11,"1,584,916 ratings61,963 reviews","First published May 22, 2006","368 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"Young , Adult, Childrens, Middle , Grade",4.58,"3,989,109 ratings79,850 reviews","First published July 8, 1999","435 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514.jpg,The Bell Jar,Sylvia Plath,"Fiction, Feminism, Classics, Mental , Health",4.05,"896,488 ratings49,913 reviews","First published January 1, 1963","294 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988.jpg,Matilda,Roald Dahl,"Childrens, Fiction, Classics, Fantasy, Middle ",4.33,"905,446 ratings22,650 reviews","First published October 1, 1988","240 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267.jpg,The Stand,Stephen King,"Horror, Fiction, Fantasy, Science , Fiction",4.35,"742,392 ratings28,541 reviews","First published January 1, 1978","1152 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668.jpg,Catch-22,Joseph Heller,"Classics, Fiction, Historical , Fiction, War",3.99,"819,970 ratings22,823 reviews","First published November 10, 1961","453 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043.jpg,The Pillars of the Earth,Ken Follett,"Historical , Fiction, Fiction, Historical, Fantasy",4.33,"748,425 ratings36,688 reviews","First published October 1, 1989","976 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590.jpg,The Adventures of Sherlock Holmes,Arthur Conan Doyle,"Mystery, Fiction, Short , Stories, Classics",4.30,"294,447 ratings9,103 reviews","First published June 1, 1892","389 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405136931i/76620.jpg,Watership Down,Richard  Adams,"Classics, Fiction, Fantasy, Young , Adult",4.08,"474,383 ratings16,980 reviews","First published November 1, 1972","478 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386605169i/17899948.jpg,Rebecca,Daphne du Maurier,"Classics, Fiction, Mystery, Gothic, Romance",4.24,"608,629 ratings38,293 reviews","First published August 1, 1938","449 pages, ebook"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631687432i/2623.jpg,Great Expectations,Charles Dickens,"Classics, Fiction, Literature, Historical , Fiction",3.79,"782,758 ratings21,386 reviews","First published December 1, 1860","544 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964.jpg,Outlander,Diana Gabaldon,"Historical , Fiction, Romance, Fantasy, Fiction",4.26,"1,020,755 ratings53,056 reviews","First published June 1, 1991","850 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135.jpg,The Girl with the Dragon Tattoo,Stieg Larsson,"Fiction, Mystery, Thriller, Crime, Mystery ",4.16,"3,103,878 ratings76,350 reviews","First published August 1, 2005","480 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1572261616l/52892857.jpg,The Color Purple,Alice Walker,"Fiction, Historical , Fiction, Feminism, Classics",4.26,"658,089 ratings23,416 reviews","First published June 1, 1982","304 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613.jpg,One Flew Over the Cuckoo's Nest,Ken Kesey,"Classics, Fiction, Psychology, Literature, Novels",4.20,"720,366 ratings15,348 reviews","First published January 1, 1962","325 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351.jpg,The Fellowship of the Ring,J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, High ",4.39,"2,750,722 ratings37,093 reviews","First published July 29, 1954","432 pages, Kindle Edition"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917.jpg,My Sister's Keeper,Jodi Picoult,"Fiction, Contemporary, Chick , Lit, Young ",4.10,"1,197,767 ratings36,906 reviews","First published April 6, 2004","423 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480.jpg,Anna Karenina,Leo Tolstoy,"Classics, Fiction, Romance, Russia, Historical ",4.09,"824,756 ratings33,865 reviews","First published January 1, 1878","964 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934.jpg,The Brothers Karamazov,Fyodor Dostoevsky,"Classics, Fiction, Russia, Russian , Literature",4.36,"319,749 ratings17,815 reviews","First published January 1, 1880","796 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891.jpg,A Tree Grows in Brooklyn,Betty  Smith,"Classics, Fiction, Historical , Fiction, Young ",4.29,"455,295 ratings26,178 reviews","First published August 18, 1943","496 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486.jpg,A Clockwork Orange,Anthony Burgess,"Classics, Fiction, Science , Fiction, Dystopia",4.00,"698,472 ratings19,799 reviews","First published January 1, 1962","240 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600241424i/6288.jpg,The Road,Cormac McCarthy,"Fiction, Science , Fiction, Dystopia, Post ",3.99,"876,395 ratings57,029 reviews","First published September 26, 2006","241 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1638425885i/16299.jpg,And Then There Were None,Agatha Christie,"Mystery, Fiction, Thriller, Crime, Mystery ",4.28,"1,290,066 ratings60,807 reviews","First published November 6, 1939","264 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg,The Golden Compass,Philip Pullman,"Fantasy, Young , Adult, Fiction, Childrens",4.02,"1,494,837 ratings27,282 reviews","First published July 1, 1995","399 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361098973i/345627.jpg,Vampire Academy,Richelle Mead,"Young , Adult, Fantasy, Vampires, Paranormal",4.11,"636,371 ratings26,068 reviews","First published August 16, 2007","332 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348317139i/252577.jpg,Angela's Ashes,Frank McCourt,"Nonfiction, Memoir, Biography, Classics, Ireland",4.14,"619,153 ratings13,979 reviews","First published September 5, 1996","452 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554368352i/2654.jpg,To Kill a Mockingbird,Harper Lee,"Classics, Fiction, Historical , Fiction, School",4.26,"5,888,672 ratings114,187 reviews","First published July 11, 1960","323 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629378189i/52036.jpg,Siddhartha,Hermann Hesse,"Classics, Fiction, Philosophy, Spirituality, Religion",4.06,"747,745 ratings25,812 reviews","First published January 1, 1922","152 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334416842i/830502.jpg,It,Stephen King,"Horror, Fiction, Thriller, Fantasy, Classics",4.25,"1,067,101 ratings34,725 reviews","First published September 15, 1986","1168 pages, Paperback"
